roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12,roi13,roi14,roi15,roi16,roi17,roi18,roi19,roi20,roi21,roi22,roi23,roi24,roi25,roi26,roi27,roi28,roi29,roi30,roi31,roi32,roi33,roi34,roi35,roi36,roi37,roi38,roi39,roi40,roi41,roi42,roi43,roi44,roi45,roi46,roi47,roi48,roi49,roi50,roi51,roi52,roi53,roi54,roi55,roi56,roi57,roi58,roi59,roi60,roi61,roi62,roi63,roi64,roi65,roi66,roi67,roi68,roi69,roi70,roi71,roi72
-1.274062,0.3536539,-0.6243171,-0.46902,-0.0975656,-1.184924,-0.425423,0.3529217,0.00740779,-0.0929091,-0.2770561,-1.47734,1.186969,0.0955565,0.0734392,-0.503767,-2.04774,0.6225772,-1.56495,-1.094972,-0.0775631,0.0929673,0.064914,0.2724451,0.6291796,0.3577272,-0.1830537,-0.2751776,-0.1876439,-0.355172,-0.3577496,-2.06274,-0.6267291,-1.886631,-1.090359,-0.527745,0.524726,-0.497057,-0.1857549,0.426511,-0.1842097,-0.6256292,-0.573057,4.62761,0.0957977,-0.2705179,0.0933714,-0.547973,0.0947996,-0.0125407,-0.6207359,-0.8877115,-0.3549629,0.6270501,2.356651,-0.0920751,1.880117,3.097417,-0.3547107,0.6235602,-0.1862737,0.8867057,0.8831273,-2.187101,0.356344,0.2779303,0.073379,0.2779777,-0.2732371,0.502377,0.2777291,-1.186457
-0.6210629,-0.2770421,-0.473597,0.2737545,-0.0470192,-0.3565342,-0.0957696,-0.0353962,-0.0969179,-0.0916737,0.0950339,-0.3574774,0.3556497,0.0315624,0.0940035,-0.035133,-0.2797505,0.1843637,-0.551306,-0.534169,-0.181755,-0.1870749,0.0779717,0.0943176,0.404127,-0.0173169,-0.096064,-0.0949713,-0.0997377,-0.2745921,-0.1877379,-1.00703,-0.3557591,-1.092142,-0.3501965,-0.0975434,0.357527,-0.3539357,-0.1804179,0.1806206,-0.3534776,-0.504797,-1.187544,-1.094321,0.0963025,0.0627767,-0.2773429,-0.456904,-0.0997305,-0.0300354,-1.00477,-1.097459,-0.8873692,0.3561572,0.0924559,-0.3500372,1.359712,1.886346,-0.3503411,0.0913626,-0.2776667,0.1860677,0.3592757,-1.359116,0.0921967,0.2791119,0.0477274,0.3553769,-0.3562624,0.2762691,0.0941512,-0.627195
-0.2717233,-1.272612,-0.091105,0.625362,0.0259755,0.3505232,0.0957757,-0.620355,-0.1862105,-0.0997777,0.359645,0.6236252,-0.8875717,-0.0720449,-0.0617502,0.3516044,0.8891262,-0.441597,0.564771,0.0713412,-0.0964011,-0.3564677,-0.0900277,-0.0200713,-0.1893474,-0.437974,-0.0415157,0.0324772,-0.0232145,0.00739162,-0.0912003,0.1837404,-0.0727455,-0.2774479,0.274271,0.277376,-0.567473,-0.0941677,-0.0996792,-0.2734074,-0.512677,-0.3539061,-1.271057,-5.186561,-0.1817591,0.271527,-0.41576,-0.2767777,-0.3570766,-0.0956052,-0.424303,-0.6227725,-0.6250072,-0.0954331,-1.885763,-0.3597532,0.063457,-0.542546,-0.0900337,-0.479772,-0.593673,-0.8835977,-0.0974734,-0.095347,-0.2772623,0.0664579,0.0907434,0.2710009,-0.3552101,-0.0416202,0.0439736,-0.1864749
0.0514329,-1.625241,0.3529764,0.597401,0.0052615,0.527517,0.0950362,-1.180775,-0.3574773,-0.1841543,0.3552729,1.40747,-2.186493,-0.0900032,-0.2747396,0.473204,1.51347,-1.05134,1.52437,0.447167,0.0263377,-0.3575777,-0.0967741,-0.0937797,-1.04509,-0.6205974,0.0426402,0.1801176,0.0999777,0.1804976,-0.0901955,1.061,0.0977473,0.1831702,0.8827023,0.6202777,-1.88762,0.1869213,-0.2709999,-0.6273332,-0.6237345,-0.0917007,-0.573707,-4.05556,-0.533029,0.1871163,-0.2746449,-0.0960141,-0.403699,-0.1837257,0.3505674,0.0972797,0.0901327,-0.471976,-2.53637,-0.0964137,-1.354774,-3.097767,0.2746592,-1.092,-1.02126,-1.626433,-0.6225625,1.187662,-0.524716,-0.414251,0.0979017,0.0635365,-0.1851107,-0.3525926,0.0334174,0.1857564
0.0971357,-1.55069,0.544155,0.0497552,-0.090117,0.8826357,-0.0975275,-1.185724,-0.40621,-0.0963251,0.0457777,1.357025,-2.52095,-0.0433606,-0.3562777,0.3534309,1.40429,-0.8863542,1.623276,0.455256,0.1804934,-0.3532779,0.027365,-0.1801209,-1.273296,-0.3513701,0.0111207,0.2736071,0.2763419,0.2713097,-0.1871727,1.186235,0.2707727,0.8857726,1.093659,0.354573,-2.620217,0.570697,-0.3593699,-0.623431,-0.57744,0.2724279,0.2773306,2.274427,-0.6229747,0.0133002,0.1876572,0.1830476,-0.1870765,-0.0964693,1.270577,1.0712,1.357446,-0.474103,-1.50257,0.424266,-2.07743,-4.094719,0.579762,-1.2707,-1.09273,-1.885111,-0.6247344,2.091345,-1.45745,-1.094034,0.0955573,-0.0959217,0.0900705,-0.415202,-0.00737273,0.353779
0.0969766,-0.6227446,0.1871777,-0.470533,-0.1847905,0.3507219,-0.459136,-0.6217533,-0.2737567,0.0020653,-0.3562509,0.6230557,-1.629793,0.0677362,-0.3507396,0.0946401,1.04767,-0.2790177,1.277499,0.0963417,0.1836157,-0.3517632,0.2770497,-0.1806215,-1.03773,0.092437,-0.095234,0.277769,0.2753314,0.27126,-0.42704,1.091771,0.272791,1.88573,0.6297907,-0.2734701,-2.53745,0.8829163,-0.491739,-0.3571037,-0.3500726,0.593917,1.275965,9.622756,-0.2797605,-0.1872133,0.547629,0.451634,0.0762027,0.0547361,1.624077,1.45435,2.357232,-0.1800712,0.2796729,1.097417,-1.44575,-2.887354,0.6211443,-1.04063,-0.6247592,-1.099563,-0.426065,2.09734,-2.183325,-1.4663,-0.0110575,-0.1896271,0.3596071,-0.1856752,-0.0926971,0.1865109
-0.0754453,0.0977642,-0.357753,-0.6224421,-0.2767261,-0.1879507,-0.503973,-0.0939677,-0.0305536,0.0929536,-0.6275057,-0.2742493,-0.0995757,0.0990763,-0.0962411,-0.0910712,0.471759,0.1874406,0.6212393,-0.273559,0.0900592,-0.3500241,0.472779,-0.0959771,-0.3515362,0.436407,-0.2770403,0.1879639,0.0917639,0.1841096,-0.6210171,1.09021,0.2706962,2.629274,0.2757096,-1.096597,-1.4155,0.6262779,-0.3559391,0.060567,0.0606271,0.6204444,1.627237,12.88292,0.0972639,-0.3517446,0.520053,0.6273717,0.2760023,0.1897624,1.47754,1.357671,2.353937,0.1807393,2.04211,1.279997,-0.2727219,-0.3527134,0.2779124,-0.2779376,-0.0621665,-0.0959732,0.00536501,1.5793,-2.62747,-1.52734,-0.1866066,-0.2766473,0.6210724,0.0970777,-0.1872404,-0.0404716
-0.1847205,0.6267707,-0.8859736,-0.1895716,-0.3503432,-0.6246631,-0.0970133,0.3510765,0.1844067,0.0911262,-0.8857627,-0.6220967,1.350532,0.187707,0.0761705,-0.1839067,0.0926961,0.577996,0.2727731,-0.521029,-0.0703075,-0.1852753,0.3517293,-0.075127,0.0762763,0.463057,-0.403506,0.0627903,-0.1871756,0.0979134,-0.570352,1.27906,0.1853472,2.887074,-0.1803955,-1.355773,0.0350175,0.490275,-0.0777723,0.3555956,0.412792,0.530932,1.352476,7.57395,0.526402,-0.2706097,0.0973751,0.6244547,0.2779765,0.3523252,1.031,1.05615,1.181636,0.2703903,2.270517,1.03332,0.517652,1.883451,-0.0653457,0.3504427,0.574363,0.3542924,0.2762909,0.8876266,-3.186915,-1.189777,-0.3574557,-0.3524932,0.8851279,0.3563106,-0.2744179,-0.0975734
-0.2725537,0.8877174,-0.431541,0.2766347,-0.2729195,-0.6247347,0.434934,0.490533,0.2715917,-0.047001,-0.6234723,-0.6266557,2.271704,0.187705,0.1800662,-0.1851317,-0.493751,0.6252573,0.2770725,-0.452129,-0.0924127,0.0941737,-0.0624251,0.0271007,0.0925419,0.1832537,-0.3530477,-0.0955677,-0.573716,0.0995347,-0.350025,1.627046,0.0927566,1.43117,-0.447543,-0.8836042,1.187709,0.0971479,0.2757931,0.3575771,0.6260104,0.2747062,0.416903,-1.07527,0.570936,-0.0376244,-0.3524762,0.595611,0.0997095,0.2760195,0.3574597,0.511077,-0.533317,-0.0197075,1.091762,0.2732761,0.470621,2.620234,-0.2735606,0.8817717,1.096675,0.1872047,0.2777324,0.3527174,-3.05934,-0.559145,-0.45579,-0.3599769,0.6270559,0.2770061,-0.189959,-0.00717106
-0.2702914,0.543921,0.8824757,0.627646,-0.0964967,-0.1890046,1.0134,0.3526764,0.0934325,-0.1817731,-0.2775172,-0.099257,2.271622,0.0997167,0.1837617,-0.1809911,-1.49917,0.574755,0.459074,-0.2743517,0.0790737,0.6251062,-0.477291,0.0920235,-0.1893757,-0.097493,-0.0929349,-0.2743744,-0.6251047,0.1879611,0.0477933,1.59952,-0.0992562,-1.277377,-0.523667,0.0944676,1.621567,-0.0945343,0.551243,0.0976346,0.6231044,0.1817002,-0.3566415,-10.62344,0.2700315,0.0973705,-0.6277327,0.2779399,-0.0443795,0.0957721,0.0960762,0.3517436,-2.096924,-0.45407,-0.519539,-0.1845317,-0.3560243,1.44797,-0.2740417,0.6260699,1.274077,-0.2770934,-0.0343477,0.0906529,-2.02017,0.0953653,-0.3555962,-0.463777,0.520741,-0.0955731,-0.0995633,0.3534777
