roi1,roi2,roi3,roi4,roi5,roi6,roi7,roi8,roi9,roi10,roi11,roi12
0.4551403,6.453247,0.6839883,3.685211,-0.00613084,-0.6863471,3.03666,0.6826502,0.6820562,-0.6810655,0.6861189,0.45917
0.886246,5.450961,-0.0921444,3.454283,0.00615187,-0.0762062,3.680375,-0.00566246,0.4578296,-0.6824587,0.6880347,0.0705594
1.03738,1.86856,-0.4505036,0.849586,-0.0575278,0.0785057,1.993296,-0.4591959,0.000963715,-0.4555272,-0.6836475,-0.6851075
0.453688,-2.684446,-0.6850391,-2.455194,-0.6858245,0.6844054,-0.4540849,-0.891128,-0.6853933,0.0312144,-0.6882414,-0.4503732
-0.6847245,-4.89763,0.0408909,-4.991259,-0.4536247,0.4580879,-2.68762,-0.843849,-0.4509745,0.681171,-0.4520671,0.0262497
-1.688654,-5.0219,0.4572152,-5.45592,-0.4549756,0.4513178,-4.681112,-0.4545505,-0.6894786,0.6879051,0.03871,0.6802098
-1.682598,-4.684136,0.4527368,-3.45412,-0.6874248,0.048939,-4.683931,-0.6814933,0.0725961,0.6888633,0.4519109,0.682651
-1.684264,-3.82518,0.4523346,-0.6887083,-0.0239832,-0.6835363,-3.458965,0.0328534,0.6827584,-0.6825173,0.6802859,1.451296
-0.6847194,-4.83054,0.4546602,1.685102,0.6865235,-0.4555747,-2.681307,0.4510248,-0.6856216,-0.6861465,0.4541036,0.9933425
0.6800617,-6.687494,-0.0411361,2.68495,0.6845044,-0.4564449,-1.682351,0.6816093,-0.6874398,-0.6897918,-0.6825021,0.6867554
0.4595488,-6.8825,-0.6834615,2.68064,0.4565973,-0.6873202,-1.680045,0.4566427,-1.682526,-0.4559159,-0.4595147,-0.682864
-0.689262,-4.85031,-0.6834006,0.6822197,0.4590887,-0.0443986,-1.450665,0.6896394,-1.450704,-0.0680933,-0.4503568,-1.683208
-1.04263,-0.847218,-0.6889342,0.6841429,0.4508809,0.0443974,-0.6878362,0.6832324,-0.800096,0.0650308,-0.685039,-1.994471
-1.453415,3.681555,-0.6816231,0.6830349,0.4542528,0.0435983,0.9905397,0.4560625,-0.0503978,0.6820264,-0.6812103,-1.686004
-1.03527,6.81187,-0.6865988,0.6870989,0.0418574,-0.0408348,2.83285,0.6813547,0.813486,0.6853344,-1.82464,-0.9953031
-0.0394435,7.684065,-0.4542112,0.6846473,-0.6838924,-0.6851378,4.686043,0.6843503,1.686132,0.4513383,-3.453352,-0.6865988
1.03271,7.04127,-0.684008,-0.4515676,-0.4567343,-0.4513054,5.08356,0.6809526,1.685179,0.4574142,-4.682907,0.6874619
1.686667,6.682127,-0.0527942,-1.03829,-0.6845102,-0.687862,4.453962,0.9940066,0.6858483,0.4546489,-4.683387,0.6815338
1.681291,6.45647,0.0680361,-1.45484,-0.6895312,-0.0594878,2.682385,1.03694,0.4592403,0.0657482,-1.87391,0.6823303
1.686631,7.45663,0.455562,-1.08589,-0.4531983,0.0625958,0.83248,0.6808548,-0.058471,-0.4519858,1.683442,0.031357
1.0236,7.685262,0.4590202,-0.034454,-0.4535737,0.6867664,-0.0949115,-0.6840869,-0.6860327,-0.4544114,4.993126,-0.4502841
1.687187,6.686221,0.6891898,1.689038,-0.6858684,0.6856206,-0.0653032,-1.680034,-0.0626308,-0.4520494,6.689168,-0.4515124
2.04768,3.00658,0.859141,2.09691,-0.6862065,0.0760645,0.6807884,-1.687338,0.0886575,-0.0796804,5.99651,-0.067958
2.682097,-0.9908696,0.6828273,2.689037,0.6837543,-0.00539734,1.07433,-1.450332,0.6859638,0.4556612,3.683591,0.680657
2.454841,-3.682863,0.6821733,2.995423,0.4549712,-0.0318945,1.453448,-0.833312,0.6803458,0.9928338,1.05982,0.6892749
1.0597,-5.451305,-0.0495035,3.456163,0.6842021,0.0806329,0.99753,-0.00318066,-0.042476,1.08968,-0.6837111,0.6853872
-0.688497,-4.682653,-0.6836491,3.996155,0.6811034,0.6847063,0.6828084,0.6869473,-0.6862496,0.86027,-0.02969,0.0511387
-2.456946,-3.684078,-0.4530574,3.84543,0.6849611,0.6840265,0.032572,0.4540858,-0.4534666,0.687192,1.683866,-0.0376595
-3.03848,-2.09563,-0.6823558,2.458842,-0.0348271,0.6848761,-0.458568,-0.6874632,-0.6868219,-0.6819608,2.456787,0.0300844
-2.686571,-1.85182,-0.6811478,-0.6844303,-0.6869097,0.4543973,-0.816571,-0.6803489,-0.00432136,-0.6894716,2.683668,0.6823082
